,car_I,num_agents,num_samples,frac_car_I,frac_agents_samples,frac_samples_agents
201,5.0,5.0,5.0,1.0,1.0,1.0
202,5.0,5.0,5.0,1.0,1.0,1.0
203,5.0,5.0,5.0,1.0,1.0,1.0
204,5.0,5.0,5.0,1.0,1.0,1.0
205,5.0,5.0,5.0,1.0,1.0,1.0
206,5.0,5.0,5.0,1.0,1.0,1.0
207,5.0,5.0,5.0,1.0,1.0,1.0
208,5.0,5.0,5.0,1.0,1.0,1.0
209,5.0,5.0,5.0,1.0,1.0,1.0
210,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
211,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
212,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
213,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
214,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
215,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
216,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
217,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
218,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
219,15.0,15.0,5.0,1.0,3.0,0.3333333333333333
220,25.0,25.0,5.0,1.0,5.0,0.2
221,25.0,25.0,5.0,1.0,5.0,0.2
222,25.0,25.0,5.0,1.0,5.0,0.2
223,25.0,25.0,5.0,1.0,5.0,0.2
224,25.0,25.0,5.0,1.0,5.0,0.2
225,25.0,25.0,5.0,1.0,5.0,0.2
226,25.0,25.0,5.0,1.0,5.0,0.2
227,25.0,25.0,5.0,1.0,5.0,0.2
228,25.0,25.0,5.0,1.0,5.0,0.2
229,25.0,25.0,5.0,1.0,5.0,0.2
230,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
231,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
232,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
233,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
234,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
235,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
236,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
237,35.0,35.0,5.0,1.0,7.0,0.14285714285714285
